time, e0, e1, deflection
18.3310000896,432,1612,0.0446383853485
18.4270000458,433,1612,0.109116053074
18.5380001068,440,1628,0.287669594468
18.6349999905,462,1676,0.471182956456
18.731000185,477,1706,0.515821341804
18.8270001411,488,1735,0.54558026537
18.9400000572,505,1774,0.58029900953
19.0360000134,522,1808,0.575339188936
19.131000042,536,1839,0.51086152121
19.228000164,548,1865,0.446383853485
19.3389999866,561,1890,0.352147262193
19.4360001087,582,1934,0.163674079611
19.5320000648,603,1977,-0.0743973089141
19.628000021,625,2021,-0.277749953279
19.7400000095,648,2060,-0.352147262193
19.8360002041,673,2097,-0.282709773874
19.9320001602,699,2134,-0.168633900205
20.0290000439,726,2167,0.0148794617828
20.1400001049,755,2203,0.123995514857
20.2380001545,794,2250,0.143834797234
20.3330001831,824,2283,0.1735937208
20.4280002117,857,2316,0.243031209119
20.5400002003,890,2345,0.282709773874
20.6370000839,924,2375,0.252950850308
20.7330000401,957,2402,0.0396785647542
20.8289999962,982,2420,0.0396785647542
20.9409999847,1006,2434,0.0396785647542
21.0370001793,1057,2464,-0.10415623248
21.1340000629,1091,2474,0.1735937208
21.2300000191,1118,2477,0.436464212296
21.3260002136,1143,2484,0.198392823771
21.4380002022,1154,2489,0.0347187441599
21.5340001583,1154,2492,0.0347187441599
21.6300001144,1154,2492,0.0347187441599
21.7410001755,1154,2492,0.0347187441599
21.8389999866,1154,2492,0.0297589235656
21.9340000153,1154,2492,0.0347187441599
22.0310001373,1154,2492,0.0297589235656
22.1260001659,1154,2492,0.0347187441599
22.239000082,1154,2492,-0.0743973089141
22.3340001106,1160,2499,-0.505901700616
22.4309999943,1173,2511,-0.996923939449
22.5270001888,1184,2514,-1.08620071015
22.6390001774,1199,2518,-1.20523640441
22.7350001335,1209,2518,-1.20523640441
22.8310000896,1221,2518,-1.11595963371
22.9270000458,1234,2518,-0.907647168752
23.0390000343,1248,2512,-0.68445524201
23.1349999905,1266,2504,-0.58029900953
23.2320001125,1285,2494,-0.515821341804
23.3280000687,1302,2481,-0.446383853485
23.4420001507,1319,2464,-0.44142403289
23.5360000134,1330,2451,-0.436464212296
23.631000042,1337,2439,-0.362066903382
23.728000164,1341,2428,-0.297589235656
23.8400001526,1345,2417,-0.163674079611
23.9360001087,1347,2402,0.054558026537
24.0329999924,1348,2385,0.357107082788
24.1290001869,1347,2362,0.947325733506
24.2400000095,1342,2333,1.27963371332
24.3370001316,1340,2329,1.34411138105
