time, e0, e1, deflection
60.7000000477,-983,-1503,-5.5401196038
61.0369999409,-1012,-1524,-5.58971780975
61.3729999065,-1025,-1537,-5.57979816856
61.6930000782,-1027,-1542,-5.58475798915
62.0460000038,-1027,-1529,-5.74347224817
62.3659999371,-1020,-1496,-5.84266866005
62.7030000687,-1015,-1478,-5.91210614837
63.0390000343,-1008,-1457,-5.99146327788
63.375,-1006,-1446,-6.02618202204
63.7109999657,-1001,-1445,-5.99642309848
64.0339999199,-966,-1415,-5.97162399551
64.3680000305,-924,-1373,-5.95178471313
64.7049999237,-891,-1336,-5.94682489253
65.0399999619,-845,-1280,-5.92698561016
65.3770000935,-803,-1233,-5.92698561016
65.7130000591,-758,-1172,-5.93690525135
66.0339999199,-729,-1137,-5.93690525135
66.370000124,-683,-1087,-5.91210614837
66.7070000172,-637,-1016,-5.93194543075
67.0429999828,-591,-962,-5.90714632778
67.3789999485,-553,-905,-5.91210614837
67.7000000477,-542,-888,-5.92698561016
68.0360000134,-529,-869,-5.93690525135
68.371999979,-523,-853,-5.96666417491
68.7079999447,-515,-840,-5.9765838161
69.0450000763,-515,-840,-5.97162399551
69.3650000095,-515,-840,-5.97162399551
69.7009999752,-515,-840,-5.97162399551
70.0380001068,-515,-840,-5.97162399551
70.3740000725,-515,-840,-5.97162399551
70.6940000057,-515,-840,-5.97162399551
71.0469999313,-515,-840,-5.97162399551
